"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","kingdom","below_kingdom","below_below_kingdom","below_below_below_kingdom","below_below_below_below_kingdom","below_below_below_below_below_kingdom","phylum","below_phylum","below_below_phylum","subphylum","superclass","class","below_class","below_below_class","subclass","infraclass","superorder","order","suborder","infraorder","parvorder","superfamily","family","subfamily","below_subfamily","genus","species","subspecies"
"1","1","root","root","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2759","131567","superkingdom","Eukaryota","1","131567","2759","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33154","2759","below_superkingdom","Opisthokonta","1","131567","2759","33154","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33208","33154","kingdom","Metazoa","1","131567","2759","33154","33208","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6072","33208","below_kingdom","Eumetazoa","1","131567","2759","33154","33208","6072","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33213","6072","below_below_kingdom","Bilateria","1","131567","2759","33154","33208","6072","33213","","","","","","","","","","","","","","","","","","","","","","","","",""
"33317","33213","below_below_below_kingdom","Protostomia","1","131567","2759","33154","33208","6072","33213","33317","","","","","","","","","","","","","","","","","","","","","","","",""
"1206794","33317","below_below_below_below_kingdom","Ecdysozoa","1","131567","2759","33154","33208","6072","33213","33317","1206794","","","","","","","","","","","","","","","","","","","","","","",""
"88770","1206794","below_below_below_below_below_kingdom","Panarthropoda","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","","","","","","","","","","","","","","","","","","","","","",""
"6656","88770","phylum","Arthropoda","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","","","","","","","","","","","","","","","","","","","","",""
"197563","6656","below_phylum","Mandibulata","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","","","","","","","","","","","","","","","","","","","",""
"197562","197563","below_below_phylum","Pancrustacea","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","","","","","","","","","","","","","","","","","","",""
"6657","197562","subphylum","Crustacea","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","","","","","","","","","","","","","","","","","",""
"6960","197562","superclass","Hexapoda","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","","6960","","","","","","","","","","","","","","","","",""
"6658","6657","class","Branchiopoda","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","","6658","","","","","","","","","","","","","","","",""
"50557","6960","class","Insecta","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","","6960","50557","","","","","","","","","","","","","","","",""
"6681","6657","class","Malacostraca","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","","6681","","","","","","","","","","","","","","","",""
"85512","50557","below_class","Dicondylia","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","","6960","50557","85512","","","","","","","","","","","","","","",""
"7496","85512","below_below_class","Pterygota","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","","6960","50557","85512","7496","","","","","","","","","","","","","",""
"72041","6681","subclass","Eumalacostraca","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","","6681","","","72041","","","","","","","","","","","","",""
"33340","7496","subclass","Neoptera","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","","6960","50557","85512","7496","33340","","","","","","","","","","","","",""
"116557","6658","subclass","Phyllopoda","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","","6658","","","116557","","","","","","","","","","","","",""
"33392","33340","infraclass","Endopterygota","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","","6960","50557","85512","7496","33340","33392","","","","","","","","","","","",""
"6820","72041","superorder","Peracarida","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","","6681","","","72041","","6820","","","","","","","","","","",""
"6821","6820","order","Amphipoda","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","","6681","","","72041","","6820","6821","","","","","","","","","",""
"7041","33392","order","Coleoptera","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","","6960","50557","85512","7496","33340","33392","","7041","","","","","","","","","",""
"58774","116557","order","Notostraca","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","","6658","","","116557","","","58774","","","","","","","","","",""
"41084","7041","suborder","Polyphaga","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","","6960","50557","85512","7496","33340","33392","","7041","41084","","","","","","","","",""
"1732196","6821","suborder","Senticaudata","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","","6681","","","72041","","6820","6821","1732196","","","","","","","","",""
"41088","41084","infraorder","Cucujiformia","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","","6960","50557","85512","7496","33340","33392","","7041","41084","41088","","","","","","","",""
"1732204","1732196","infraorder","Gammarida","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","","6681","","","72041","","6820","6821","1732196","1732204","","","","","","","",""
"1732304","1732204","parvorder","Gammaridira","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","","6681","","","72041","","6820","6821","1732196","1732204","1732304","","","","","","",""
"71526","41088","superfamily","Cucujoidea","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","","6960","50557","85512","7496","33340","33392","","7041","41084","41088","","71526","","","","","",""
"44329","1732304","superfamily","Gammaroidea","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","","6681","","","72041","","6820","6821","1732196","1732204","1732304","44329","","","","","",""
"7080","71526","family","Coccinellidae","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","","6960","50557","85512","7496","33340","33392","","7041","41084","41088","","71526","7080","","","","",""
"36939","44329","family","Gammaridae","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","","6681","","","72041","","6820","6821","1732196","1732204","1732304","44329","36939","","","","",""
"63729","58774","family","Triopsidae","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","","6658","","","116557","","","58774","","","","","63729","","","","",""
"7081","7080","subfamily","Coccinellinae","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","","6960","50557","85512","7496","33340","33392","","7041","41084","41088","","71526","7080","7081","","","",""
"263631","7081","below_subfamily","Coccinellini","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","","6960","50557","85512","7496","33340","33392","","7041","41084","41088","","71526","7080","7081","263631","","",""
"45625","36939","genus","Gammarus","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","","6681","","","72041","","6820","6821","1732196","1732204","1732304","44329","36939","","","45625","",""
"115356","263631","genus","Harmonia","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","","6960","50557","85512","7496","33340","33392","","7041","41084","41088","","71526","7080","7081","263631","115356","",""
"58776","63729","genus","Triops","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","","6658","","","116557","","","58774","","","","","63729","","","58776","",""
"315706","45625","species","Gammarus balcanicus","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","","6681","","","72041","","6820","6821","1732196","1732204","1732304","44329","36939","","","45625","315706",""
"178002","45625","species","Gammarus duebeni","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","","6681","","","72041","","6820","6821","1732196","1732204","1732304","44329","36939","","","45625","178002",""
"52638","45625","species","Gammarus fossarum","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","","6681","","","72041","","6820","6821","1732196","1732204","1732304","44329","36939","","","45625","52638",""
"462840","45625","species","Gammarus glabratus","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","","6681","","","72041","","6820","6821","1732196","1732204","1732304","44329","36939","","","45625","462840",""
"52641","45625","species","Gammarus pulex","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","","6681","","","72041","","6820","6821","1732196","1732204","1732304","44329","36939","","","45625","52641",""
"1080772","45625","species","Gammarus roeselii","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","","6681","","","72041","","6820","6821","1732196","1732204","1732304","44329","36939","","","45625","1080772",""
"360729","45625","species","Gammarus tigrinus","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","","6681","","","72041","","6820","6821","1732196","1732204","1732304","44329","36939","","","45625","360729",""
"115357","115356","species","Harmonia axyridis","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","","6960","50557","85512","7496","33340","33392","","7041","41084","41088","","71526","7080","7081","263631","115356","115357",""
"194544","58776","species","Triops cancriformis","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","","6658","","","116557","","","58774","","","","","63729","","","58776","194544",""
"1080770","52641","subspecies","Gammarus pulex gallicus","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","","6681","","","72041","","6820","6821","1732196","1732204","1732304","44329","36939","","","45625","52641","1080770"
